v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een ondersteunende dienst.;Ketenregie en Accountmanagement;Dienst Bedrijfsvoering;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;1;2;3;3;2;1;2;2;2;2;1;1;1;2;3;3;1;2;3;2;3;2;2;1;1;2;2;3
Vanuit mijn rol binnen een ondersteunende dienst.;Informatiemanagement & ICT;Dienst Informatiemanagement & ICT;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;3;2;2;3;2;2;3;2;2;1;2;2;2;3;3;3;2;2;3;2;2;3;2;3;2;2;3;4;2;3;4;4;3;3;3;2;2;3;3;3
Vanuit mijn rol binnen een opleiding.;Ondernemerschap & Retail Management;Institute for Marketing & Commerce;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;3;2;1;2;2;3;2;2;1;2;2;2;1;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;2;2;3;3;3;2;3;5;4;5;5;5
Vanuit mijn rol binnen een ondersteunende dienst.;Dienst Onderwijs Onderzoek & Studentzaken;Dienst Onderwijs, Onderzoek & Studentzaken;2;1;3;2;3;2;2;3;1;2;2;2;2;2;2;2;7;2;2;3;3;3;2;2;2;3;2;1;3;3;4;4;3;2;8;2;2;2;3;2;2;6;3;4;3;3;4;3;3;3;3;3;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Team Kwaliteitszorg en Assortiment;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;1;2;1;1;1;2;1;1;1;2;1;3;2;2;4;2;1;1;1;2;2;3;3
Vanuit mijn rol binnen een opleiding.;HBO-Rechten dt;Instituut voor Recht;1;2;2;1;1;1;2;2;2;1;4;3;2;1;1;1;2;1;2;2;2;4;3;3;3;1;2;1;3;3;4;3;3;1;1;2;1;1;2;2;1;1;3;4;1;2;4;2;2;2;3;6;6;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Vastgoed en Facilities;Dienst Bedrijfsvoering;2;2;4;2;2;1;1;2;2;1;1;1;1;4;6;6;4;2;6;5;2;5;5;2;1;1;3;2;5;4;5;5;6;1;3;1;1;2;5;5;3;3;5;5;4;4;5;4;3;5;5;5;5;5;5;5
Vanuit mijn rol binnen een ondersteunende dienst.;Vastgoed en Facilities;Dienst Bedrijfsvoering;2;2;3;1;1;1;2;2;2;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;4;2;4;2;6;2;6;6;1;2;1;1;2;2;2;2;2;2;2;7;7;7;7;7;6;6;4;4;4;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Vastgoed en Facilities;Dienst Bedrijfsvoering;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;2;2;2;2;3;1;2;2;2;2;2;2;2;2;2;3;1;1;2;2;2;2;3;2;1;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Vastgoed en Facilities;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;3;3;3;3;4;4;3;3;2;3;4;2;4;2;2;3;3;2;2;3;3;3;2;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;HBO-ICT TI;​Institute for Information & Communication Technology;1;2;2;2;2;2;2;1;2;1;3;2;2;2;2;1;2;1;1;2;1;2;2;1;3;2;2;1;2;3;3;2;2;1;2;2;2;2;2;2;2;2;3;3;3;3;3;1;2;2;2;2;2;3;3;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT TI;​Institute for Information & Communication Technology;1;2;2;3;2;1;2;2;1;2;2;2;2;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;2;6;2;2;3;3;3;2;2;2;2;2;3;4;4;3;1;3;3;3;5;3;2;4;6
Vanuit mijn rol binnen een opleiding.;Seminarium voor Orthopedagogiek;Instituut voor Onderwijs en Orthopedagogiek;1;2;3;4;8;8;1;2;1;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Vanuit mijn rol binnen een opleiding.;HBO-ICT Breed;​Institute for Information & Communication Technology;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;3;3;3;3;2;2;3;3;2;1;1;2;3;2;3;6;3;6;7;7;7;7;2;2;6;2;6;6;6;2;3;3;2;6;2;3;3;2;3;4;4
Vanuit mijn rol binnen een opleiding.;Omgangskunde;Instituut Archimedes;1;2;3;2;2;2;2;1;1;1;1;1;1;2;2;2;3;2;3;3;3;3;3;2;2;1;1;1;3;3;3;3;3;1;1;1;1;1;3;3;3;3;3;3;2;3;3;2;3;3;3;2;2;3;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Natuurkunde;College van Bestuur / Bestuursdienst;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;4;2;1;2;2;1;1;2;2;2;3;2;4;2;2;2;2;3;2;2;3;2;2;3;3
Vanuit mijn rol binnen een opleiding.;HBO-ICT AI;​Institute for Information & Communication Technology;1;2;4;4;4;2;3;1;1;1;1;1;1;3;1;1;1;1;4;4;3;4;3;3;1;2;4;4;4;1;4;2;4;1;1;4;4;2;1;3;6;6;2;6;6;6;6;4;4;1;1;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 2/3;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;3;2;2;2;3;2;2;1;2;2;2;2;1;1;2;2;2;3;3;2;3;3;2;8;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT TI;​Institute for Information & Communication Technology;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;3;2;2;2;2;2;2;3;2;3;3;3;2;2;2;2;2;3;3;3;3;3;4;2;4;2;2;2;2;3;2;2;2;3;2
Vanuit mijn rol binnen een opleiding.;Institute for Life Sciences & Chemistry;Institute for Life Sciences & Chemistry;1;2;2;2;3;3;3;2;3;2;3;7;7;1;2;2;2;2;2;2;7;7;7;3;3;3;4;4;2;2;7;2;3;7;7;7;7;7;7;7;7;7;7;7;2;2;3;2;3;2;6;2;2;3;3;6
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB System Integration;Dienst Informatiemanagement & ICT;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2;2;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT CIO Office;Dienst Informatiemanagement & ICT;2;2;3;2;2;1;1;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;3;2;2;3;2;3;2;3;3;1;3;2;2;1;2;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3
Vanuit mijn rol binnen een ondersteunende dienst.;Corporate Affairs;Dienst Marketing & Communicatie;2;2;4;2;2;2;2;2;1;1;1;1;3;2;4;4;6;6;4;2;2;4;4;3;4;2;2;2;4;4;4;4;4;2;7;6;6;6;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5
Vanuit mijn rol binnen een ondersteunende dienst.;Management Control;Dienst Finance, Control & Analytics;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;3;2;3;2;2;2;4;3;2;7;7;4;2;3;2;2;2;2;3;2;2;3;4;2;2;4;2;3;4;2;2;3;3;2;3
Vanuit mijn rol binnen een opleiding.;Institute for ICT;​Institute for Information & Communication Technology;1;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;3;3;2;2;2;3;3;3;2;2;2;3;3;3;2;2;3
Vanuit mijn rol binnen een ondersteunende dienst.;Corporate Affairs;Dienst Marketing & Communicatie;2;2;3;2;2;2;2;2;2;2;3;3;2;2;6;3;6;2;2;6;2;3;2;3;2;2;2;2;3;6;6;6;2;1;3;3;4;4;2;3;2;6;6;6;3;4;4;2;2;6;6;2;3;3;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;Studentsupport team 2;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;6;2;2;2;2;2;2;2;3;2;2;1;2;4;4;4;1;2;3;2;2;2;2;2;2;2;3;4;2;3;3;2;2;4;4;2;2;2;8;3
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB System Integration;Dienst Informatiemanagement & ICT;2;2;1;1;1;1;1;1;1;2;2;8;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;3;2;3;3;3;2;2;1;2;3;3;2
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Cloud Services;Dienst Informatiemanagement & ICT;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;2;3;1;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB System Integration;Dienst Informatiemanagement & ICT;2;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Proces management;Dienst Informatiemanagement & ICT;2;2;3;2;2;2;1;1;1;2;3;1;1;1;1;2;2;2;2;4;2;1;2;1;2;3;2;2;2;2;4;4;4;2;3;2;1;1;2;4;2;2;4;2;2;4;4;4;4;6;4;5;4;4;5;5
Vanuit mijn rol binnen een opleiding.;HBO-ICT AI;​Institute for Information & Communication Technology;1;2;4;3;2;2;2;2;2;1;3;2;2;2;1;1;2;2;3;2;2;4;2;2;2;2;2;5;3;2;4;4;4;2;2;2;2;2;2;3;2;2;3;3;2;2;3;4;4;2;3;2;2;3;2;3
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Projectbureau SI;Kenniscentrum Sociale Innovatie;3;2;3;2;2;1;2;2;2;1;2;1;2;1;1;2;3;1;1;2;1;2;2;2;2;2;2;2;2;3;6;3;6;1;1;2;2;2;1;2;1;2;3;2;3;3;3;3;3;1;3;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT Studieloopbaanbegeleiding;​Institute for Information & Communication Technology;1;2;2;2;2;2;1;1;2;1;2;1;3;1;1;2;2;1;2;7;1;7;1;1;3;2;2;2;2;3;3;3;2;7;7;7;7;7;7;7;7;7;2;7;2;2;3;3;2;2;2;1;1;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Studievoortgangsregistratie Team 1;Dienst Bedrijfsvoering;2;2;2;2;2;1;1;2;1;1;2;1;1;1;2;3;3;2;2;2;2;2;2;1;2;2;1;1;3;3;4;4;2;2;3;3;7;2;6;6;2;6;3;6;2;2;4;2;2;7;3;6;6;6;6;6
Vanuit mijn rol binnen een opleiding.;HBO-ICT Studieloopbaanbegeleiding;​Institute for Information & Communication Technology;1;2;2;2;2;2;2;1;3;1;3;3;3;2;2;3;3;3;3;2;1;1;1;2;2;2;3;3;7;7;4;7;3;7;7;7;7;2;7;7;7;7;7;7;2;2;4;2;6;6;3;2;2;4;6;4
Vanuit mijn rol binnen een opleiding.;Creative Business 2;Instituut voor Communicatie;1;2;4;1;1;1;1;1;1;1;2;1;1;2;2;2;3;2;4;2;2;4;3;2;4;2;1;1;3;3;4;4;2;1;1;1;1;1;4;2;3;3;4;5;5;2;5;5;5;2;4;5;3;5;5;4
Vanuit mijn rol binnen een opleiding.;HBO-ICT AI;​Institute for Information & Communication Technology;1;2;2;1;1;1;1;3;3;1;2;2;2;2;2;1;5;1;3;3;1;1;2;2;1;3;1;1;2;1;3;2;3;1;1;1;1;1;6;6;6;6;6;6;5;5;5;3;5;1;2;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Bachelor Social Work onderbouw team 1;Instituut voor Social Work;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;3;3;3;2;2;3;3;2;2;2;3;2;2;2;2;2;2;2;2;4;4;3;3;4;3;3;4;4;4;2;2;4;2;2;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB AppDev;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;3;3;3;3
Vanuit mijn rol binnen een opleiding.;Communicatie & Media Design team 1;Instituut voor Media;1;2;5;2;4;2;2;2;1;3;2;2;2;2;1;2;3;1;2;2;2;3;2;3;2;2;2;2;3;2;4;4;3;2;2;2;2;2;2;2;2;2;4;3;4;3;4;4;3;2;3;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Built Environment 1;Institute for Design & Engineering;1;2;2;2;2;2;2;1;1;1;3;2;2;2;2;3;3;2;3;2;3;4;2;1;2;3;3;1;2;2;4;2;6;2;2;3;3;2;2;3;2;3;4;4;1;1;6;2;2;6;6;1;1;1;1;1
Vanuit mijn rol binnen een opleiding.;HBO-Rechten vt team 3&4;Instituut voor Recht;1;2;3;3;3;3;3;2;1;1;1;1;3;1;2;2;2;2;2;2;3;4;3;2;1;2;2;1;2;6;3;2;2;1;1;1;1;1;1;1;1;1;1;4;1;2;2;1;1;1;1;1;1;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT Studieloopbaanbegeleiding;​Institute for Information & Communication Technology;1;2;2;1;1;1;2;2;3;1;3;2;1;1;2;2;2;3;2;2;2;1;1;4;4;3;2;2;2;5;5;2;3;7;7;7;7;7;7;7;7;7;7;7;2;5;4;2;4;2;4;4;3;5;4;5
Vanuit mijn rol binnen een ondersteunende dienst.;Project en procesmanagement 2;Dienst Bedrijfsvoering;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;1;1;4;4;3;1;2;2;2;1;2;2;2;2;4;4;1;3;3;1;2;2;1;1;1;3;3;3
Vanuit mijn rol binnen een opleiding.;IBMS Team 4;Institute for International Business Studies;1;2;1;1;2;1;2;1;1;1;2;2;1;2;2;2;3;3;2;8;4;3;4;1;1;2;1;1;4;3;4;3;4;1;1;1;1;1;4;4;3;4;4;2;5;5;5;5;5;6;5;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Ondernemerschap & Retail Management;Institute for Marketing & Commerce;1;2;4;3;2;1;2;2;2;1;2;2;2;3;6;6;6;6;4;3;3;3;3;1;1;2;1;2;3;6;4;3;6;1;1;2;2;1;6;3;6;6;6;4;4;4;5;5;5;2;4;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Sociaal Juridische Dienstverlening vt;Instituut voor Recht;1;2;2;2;2;2;1;1;1;1;2;1;7;2;2;2;2;2;3;2;1;2;2;2;2;2;1;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;3;3;2;3;2
Vanuit mijn rol binnen een ondersteunende dienst.;Beleidsevaluatie/monitoring;College van Bestuur / Bestuursdienst;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;2;3;2;1;7;7;4;1;2;1;1;2;1;2;7;1;7;7;1;2;2;3;2;1;1;1;1;1;1;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT Studieloopbaanbegeleiding;​Institute for Information & Communication Technology;1;2;2;2;3;3;2;2;2;1;1;4;5;1;1;3;3;3;3;4;1;2;1;2;2;2;3;1;3;2;7;7;1;7;7;7;7;1;7;7;7;7;7;7;2;2;3;2;2;2;1;2;2;6;6;6
Vanuit mijn rol binnen een opleiding.;HBO-ICT AI;​Institute for Information & Communication Technology;1;2;2;2;2;1;2;2;1;1;1;1;2;1;1;2;3;1;2;1;1;2;2;2;2;1;1;2;1;2;3;2;6;1;1;1;1;1;2;2;2;2;6;6;2;3;2;2;6;1;6;1;2;3;3;3
Vanuit mijn rol binnen een opleiding.;Team Verpleegkunde 1;Instituut voor Verpleegkundige Studies;1;2;2;2;2;2;2;2;2;2;4;4;2;6;6;6;6;6;6;6;6;6;6;4;4;2;6;2;6;6;2;2;6;4;4;4;4;6;6;2;2;6;6;2;2;2;6;6;6;2;6;6;6;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Studievoortgangsregistratie Team 3;Dienst Bedrijfsvoering;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;4;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT Software Development;​Institute for Information & Communication Technology;1;2;4;5;4;2;2;3;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;4;2;2;3;4;4;3;4;3;1;1;2;3;1;3;4;3;4;5;5;6;4;5;4;5;5;5;5;5;5;5;5
Vanuit mijn rol binnen een opleiding.;Bedrijfskunde VT team 2;Institute for People & Business;1;2;2;3;3;3;2;2;2;1;3;2;1;1;1;2;6;1;2;1;1;1;1;2;2;4;3;5;1;1;6;2;3;3;2;3;3;3;2;2;2;3;6;3;2;2;3;3;6;2;2;1;1;3;3;3
Vanuit mijn rol binnen een opleiding.;Master Pedagogiek;Instituut voor Ecologische Pedagogiek;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;3;2;1;2;1;2;6;2;2;2;1;3;2;2;2;2;2;3;2;2;1;1;2;1;2;2;2;1;1;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT AI;​Institute for Information & Communication Technology;1;2;2;4;3;3;2;1;2;1;2;3;2;1;2;1;2;1;1;1;1;1;1;2;1;3;2;3;1;2;3;2;2;2;1;2;2;2;1;3;3;2;2;4;2;2;3;2;2;1;1;3;2;3;3;1
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;KC Sociale Innovatie;Kenniscentrum Sociale Innovatie;3;1;3;2;2;2;2;2;1;1;2;1;1;1;1;1;2;1;2;2;1;2;1;1;2;2;1;3;1;2;2;2;2;1;1;1;1;1;1;1;1;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Team Kwaliteitszorg en Assortiment;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;1;1;2;2;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;1;1;1;1;1
Vanuit mijn rol binnen een ondersteunende dienst.;Praktijkbureau cluster Heidelberglaan 7;Dienst Bedrijfsvoering;2;2;2;2;2;1;2;2;2;2;6;6;1;2;2;2;2;2;7;2;2;1;2;2;3;2;2;2;2;6;2;6;7;2;3;6;2;6;2;2;2;2;2;2;2;2;6;6;6;2;2;6;6;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;HR Services;Dienst Human Resources;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;3;3;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;HR Services;Dienst Human Resources;2;2;2;2;2;2;2;2;2;1;2;1;1;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;1;2;2;6;2;1;3;2;2;2;2;6;2;2;2;2;2;6;6;4;4;2;4;2;2;2;3;6
Vanuit mijn rol binnen een opleiding.;SvO Regio Utrecht/Amsterdam;Instituut voor Onderwijs en Orthopedagogiek;1;2;1;1;1;2;1;2;1;1;1;1;1;2;1;2;3;1;2;2;2;2;2;1;2;1;1;1;2;2;3;2;3;1;1;1;1;1;2;2;2;2;2;3;3;2;3;2;2;3;3;4;4;3;4;3
Vanuit mijn rol binnen een ondersteunende dienst.;Strategische Marketing;Dienst Marketing & Communicatie;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;2;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Instituut voor Paramedische Studies;Instituut voor Paramedische Studies;1;2;2;3;2;2;1;1;1;1;1;1;1;3;3;3;3;2;4;2;2;2;3;2;4;3;1;1;2;4;4;3;3;1;1;1;1;1;3;3;3;3;3;4;2;2;4;3;3;3;4;4;2;2;2;3
